mass_A
t	x	y
0,000000000E0	1,018612333E-2	2,715329447E-1
3,332222222E-2	9,595708832E-3	2,695186612E-1
6,664444444E-2	1,080677083E-2	2,689682578E-1
9,996666667E-2	1,318825249E-2	2,676254049E-1
1,332888889E-1	1,773029472E-2	2,674094329E-1
1,666111111E-1	2,355872667E-2	2,659375589E-1
1,999333333E-1	3,065740678E-2	2,632899391E-1
2,332555556E-1	3,990747431E-2	2,621472390E-1
2,665777778E-1	5,037786868E-2	2,597840005E-1
2,999000000E-1	6,205516642E-2	2,563388247E-1
3,332222222E-1	7,592839038E-2	2,542356583E-1
3,665444444E-1	9,106348675E-2	2,511754871E-1
3,998666667E-1	1,074167706E-1	2,468979258E-1
4,331888889E-1	1,259569205E-1	2,436565012E-1
4,665111111E-1	1,457406434E-1	2,391656834E-1
4,998333333E-1	1,668333001E-1	2,321714664E-1
5,331555556E-1	1,912080864E-1	2,243857453E-1
5,664777778E-1	2,144570710E-1	2,191052228E-1
5,998000000E-1	2,412187742E-1	2,111210710E-1
6,331222222E-1	2,692958905E-1	2,005449516E-1
6,664444444E-1	3,005827552E-1	1,922147283E-1
6,997666667E-1	3,331923918E-1	1,804661328E-1
7,330888889E-1	3,680142194E-1	1,666742508E-1
7,664111111E-1	4,042765417E-1	1,516226745E-1
7,997333333E-1	4,438868867E-1	1,354767644E-1
8,330555556E-1	4,859623725E-1	1,177900999E-1
8,663777778E-1	5,298265808E-1	1,032231168E-1
8,997000000E-1	5,782807728E-1	8,876478899E-2
9,330222222E-1	6,271741648E-1	7,770556938E-2
9,663444444E-1	6,801420061E-1	7,363112005E-2
9,996666667E-1	7,331098474E-1	7,537731262E-2
1,032988889E0	7,837494319E-1	8,643653223E-2
1,066311111E0	8,349710807E-1	1,027343295E-1
1,099633333E0	8,780438307E-1	1,236886404E-1
1,132955556E0	9,193703882E-1	1,440608870E-1
1,166277778E0	9,583686890E-1	1,545380425E-1
1,199600000E0	9,967849255E-1	1,603586844E-1
1,232922222E0	1,034619098E0	1,603586844E-1
1,266244444E0	1,073035334E0	1,580304276E-1
1,299566667E0	1,107369302E0	1,483769209E-1
1,332888889E0	1,148121615E0	1,405685019E-1
1,366211111E0	1,187663943E0	1,281646109E-1
1,399533333E0	1,229526731E0	1,148509114E-1
1,432855556E0	1,274948462E0	1,054498988E-1
1,466177778E0	1,325651193E0	1,038984579E-1
1,499500000E0	1,376872842E0	9,982400860E-2
1,532822222E0	1,424602105E0	9,400336670E-2
